"tokenID","name","description","file_name","animation_url","external_url","attributes[Primary Background]","attributes[Secondary Background]","attributes[Skin Tone]","attributes[Archetype Base]","attributes[Gender]","attributes[Headwear]","attributes[Eyewear]","attributes[Facial Hair]","attributes[Lip Color]","attributes[Earring Set]","attributes[Neckwear]","attributes[Mouth Accessory]","attributes[Primary Clothing]","attributes[Secondary Clothing]","attributes[Primary Watch]","attributes[Secondary Watch]","attributes[Hand Interaction]","attributes[Mental Activity]","attributes[Tier]"
"101","Luxury Punks #101","A high-end collection of luxury cybernetic punks with metallic assets.","images/101.svg","https://amormesbahi.github.io/luxury-punks-anim/html/101.html","https://amormesbahi.github.io/luxury-punks-anim/html/101.html","Magenta Static","Sky Grid","Fair Light","Male Profile","male","None","None","Clean Shaven","None","Onyx Spike","Voice Modulator Collar","None","Brick Domino Obsidian","Leather Muscle Desert","None","Luxury Gold Watch","None","Suspicious Squint","Common"
"102","Luxury Punks #102","A high-end collection of luxury cybernetic punks with metallic assets.","images/102.svg","https://amormesbahi.github.io/luxury-punks-anim/html/102.html","https://amormesbahi.github.io/luxury-punks-anim/html/102.html","Cyan Particles","Violet Glitch","Deep Mocha","Alien Female Profile","female","Quantum Circles","None","None","Neon Cyan Lips","Gold Hoop","Ancient Jade Disc","Rose Gold Cyber Mask","Cyber Poncho","Silver Dress","None","Random Custom Watch","None","Pulsing Iris (Hypnotic)","Common"
"103","Luxury Punks #103","A high-end collection of luxury cybernetic punks with metallic assets.","images/103.svg","https://amormesbahi.github.io/luxury-punks-anim/html/103.html","https://amormesbahi.github.io/luxury-punks-anim/html/103.html","Rose Glitch","Sky Grid","Natural Beige","Heavy Ape Profile","male","Holographic Curls (Animated)","None","Gold Trim Beard","None","None","Crimson Velvet Wrap","Glitch Diamond Shield (Animated)","Velvet Blazer","Techwear Jacket","None","Oyster Professional","None","Static Punk","Common"
"104","Luxury Punks #104","A high-end collection of luxury cybernetic punks with metallic assets.","images/104.svg","https://amormesbahi.github.io/luxury-punks-anim/html/104.html","https://amormesbahi.github.io/luxury-punks-anim/html/104.html","Orange Particles","Cyan Pulse","Fair Light","Soft Female Profile","female","None","None","None","None","Gold Hoop","Plasma Chrome Blade","None","Pinstripe Blazer","Plaid Skirt Set","None","Oyster Professional","None","Pulsing Iris (Hypnotic)","Common"
"105","Luxury Punks #105","A high-end collection of luxury cybernetic punks with metallic assets.","images/105.svg","https://amormesbahi.github.io/luxury-punks-anim/html/105.html","https://amormesbahi.github.io/luxury-punks-anim/html/105.html","Sky Pulse","Orange Static","Deep Mocha","Male Profile","male","Cyber Visor Cap","Ruby Studded Wayfarers","Shadow Beard","None","Diamond Stud","Neon Onyx Disc","LEGENDARY: Event Horizon Rayon","Brick Domino Neon Pink","Cyber Suit","None","Retro Digital Steel","None","Static Punk","Common"
"106","Luxury Punks #106","A high-end collection of luxury cybernetic punks with metallic assets.","images/106.svg","https://amormesbahi.github.io/luxury-punks-anim/html/106.html","https://amormesbahi.github.io/luxury-punks-anim/html/106.html","Lime Glitch","Magenta Scanline","Fair Light","Male Profile","male","Wild Spikes","LEGENDARY: Spectral Ghost View (Animated)","Shadow Beard","None","Gold Hoop","Glitch Crystal Collar","None","Desert Poncho","Cyber Suit","None","Retro Digital Steel","None","Suspicious Squint","Common"
"107","Luxury Punks #107","A high-end collection of luxury cybernetic punks with metallic assets.","images/107.svg","https://amormesbahi.github.io/luxury-punks-anim/html/107.html","https://amormesbahi.github.io/luxury-punks-anim/html/107.html","Rose Glitch","Violet Glitch","Rich Brown","Alien Profile","male","Toxic Live Spikes","LEGENDARY: Prism Diamond Monocle","Shadow Beard","None","Diamond Stud","Gold Thick Chain","Marble Luxury Respirator","Obsidian Armor","Tuxedo","Oyster Professional","Random Custom Watch","Pointing Hand","Scanning Cyber Laser","Rare"
"108","Luxury Punks #108","A high-end collection of luxury cybernetic punks with metallic assets.","images/108.svg","https://amormesbahi.github.io/luxury-punks-anim/html/108.html","https://amormesbahi.github.io/luxury-punks-anim/html/108.html","Amber Scanline","Indigo Pulse","Natural Beige","Alien Female Profile","female","Side Ponytail","None","None","Neon Cyan Lips","None","Silver Skull Pendant","None","Mesh Crop Top","White Suit","None","Cyber Holograph","None","Suspicious Squint","Common"
"109","Luxury Punks #109","A high-end collection of luxury cybernetic punks with metallic assets.","images/109.svg","https://amormesbahi.github.io/luxury-punks-anim/html/109.html","https://amormesbahi.github.io/luxury-punks-anim/html/109.html","Rose Particles","Violet Wave","Pale Steel","Heavy Ape Profile","male","Plasma Spikes (Animated)","None","Clean Shaven","None","Ruby Tear","Dual Tone Twist","None","Samurai Armor","Glass Fiber Amethyst","None","Luxury Gold Watch","None","Static Punk","Common"
"110","Luxury Punks #110","A high-end collection of luxury cybernetic punks with metallic assets.","images/110.svg","https://amormesbahi.github.io/luxury-punks-anim/html/110.html","https://amormesbahi.github.io/luxury-punks-anim/html/110.html","Sky Orbit","Indigo Scanline","Fair Light","Alien Female Profile","female","Cyber Live Spikes","Rainbow Prism Shades (Animated)","None","Ruby Red Lips","None","Glitch Carbon Blade","None","Royal Gown","Raincoat","None","Oyster Professional","None","Suspicious Squint","Common"
"111","Luxury Punks #111","A high-end collection of luxury cybernetic punks with metallic assets.","images/111.svg","https://amormesbahi.github.io/luxury-punks-anim/html/111.html","https://amormesbahi.github.io/luxury-punks-anim/html/111.html","Magenta Glitch","Cyan Wave","Rich Brown","Soft Female Profile","female","Crystal Leafs","None","None","Neon Cyan Lips","None","Neon Quantum Collar","Starry Night Shield (Animated)","Winter Coat","Cyber Poncho","None","Luxury Gold Watch","None","Pulsing Iris (Hypnotic)","Common"
"112","Luxury Punks #112","A high-end collection of luxury cybernetic punks with metallic assets.","images/112.svg","https://amormesbahi.github.io/luxury-punks-anim/html/112.html","https://amormesbahi.github.io/luxury-punks-anim/html/112.html","Amber Pulse","Slate Scanline","Warm Olive","Male Profile","male","None","LEGENDARY: Neon Lazer Rayons (Animated)","Full Bushy Beard","None","Diamond Chandelier","Neon Quantum Scarf","Chrome Spike Mask","Silk Robe","Glass Fiber Aurora","Royal Octagon","Luxury Gold Watch","Pointing Hand","Static Punk","Common"
"113","Luxury Punks #113","A high-end collection of luxury cybernetic punks with metallic assets.","images/113.svg","https://amormesbahi.github.io/luxury-punks-anim/html/113.html","https://amormesbahi.github.io/luxury-punks-anim/html/113.html","Amber Circuit","Lime Glitch","Vampire White","Alien Profile","male","Curly Top Fade","None","Chinstrap","None","None","None","Pulsing Core Respirator (Animated)","Camo Hoodie","White Tuxedo","Retro Digital Steel","Oyster Professional","Peace Sign","Active Smoker & Blinking","Rare"
"114","Luxury Punks #114","A high-end collection of luxury cybernetic punks with metallic assets.","images/114.svg","https://amormesbahi.github.io/luxury-punks-anim/html/114.html","https://amormesbahi.github.io/luxury-punks-anim/html/114.html","Rose Pulse","Amber Pulse","Deep Mocha","Male Profile","male","Dreadlock Top","Sapphire Shield Visor","Gold Trim Beard","None","None","Floating Chrome Band","Pearl Round Guard","Obsidian Armor","Graphic Tee","Random Custom Watch","Retro Digital Steel","Pointing Hand","Rapid Eye Twitch","Common"
"115","Luxury Punks #115","A high-end collection of luxury cybernetic punks with metallic assets.","images/115.svg","https://amormesbahi.github.io/luxury-punks-anim/html/115.html","https://amormesbahi.github.io/luxury-punks-anim/html/115.html","Lime Particles","Indigo Particles","Deep Mocha","Sharp Angular Female","female","Toxic Blooming Flowers","None","None","Dark Purple Lips","None","Emerald Studded Collar","Shifting Color Shell (Animated)","Lace Dress","Winter Coat","Luxury Gold Watch","Cyber Holograph","Thumb Up","Active Smoker & Blinking","Common"
"116","Luxury Punks #116","A high-end collection of luxury cybernetic punks with metallic assets.","images/116.svg","https://amormesbahi.github.io/luxury-punks-anim/html/116.html","https://amormesbahi.github.io/luxury-punks-anim/html/116.html","Lime Pulse","Cyan Matrix","Fair Light","Male Profile","male","Quantum Blooming Flowers","None","Clean Shaven","None","None","Gold Medallion","Sapphire Glass Shell","Midnight Suit","Cyber Poncho","Oyster Professional","Royal Octagon","Hand Shake","Active Smoker & Blinking","Common"
"117","Luxury Punks #117","A high-end collection of luxury cybernetic punks with metallic assets.","images/117.svg","https://amormesbahi.github.io/luxury-punks-anim/html/117.html","https://amormesbahi.github.io/luxury-punks-anim/html/117.html","Sky Wave","Cyan Glitch","Natural Beige","Sharp Angular Female","female","None","Neon Glow Aviators (Animated)","None","Ruby Red Lips","None","Bio-Luminescent Cord","None","Nerdy Leather Prototype","Neon Top","None","Luxury Gold Watch","None","Scanning Cyber Laser","Rare"
"118","Luxury Punks #118","A high-end collection of luxury cybernetic punks with metallic assets.","images/118.svg","https://amormesbahi.github.io/luxury-punks-anim/html/118.html","https://amormesbahi.github.io/luxury-punks-anim/html/118.html","Violet Pulse","Violet Static","Crimson Demon","Heavy Ape Profile","male","Spectral Shifting","None","Full Bushy Beard","None","None","Plasma Chrome Blade","None","Punk Vest","Glass Fiber Amethyst","None","Retro Digital Steel","None","Static Punk","Rare"
"119","Luxury Punks #119","A high-end collection of luxury cybernetic punks with metallic assets.","images/119.svg","https://amormesbahi.github.io/luxury-punks-anim/html/119.html","https://amormesbahi.github.io/luxury-punks-anim/html/119.html","Cyan Pulse","Indigo Scanline","Deep Mocha","Alien Profile","male","None","None","Clean Shaven","None","None","Pulsing Sapphire Rope","Marble Luxury Respirator","Winter Coat","White Tuxedo","Luxury Gold Watch","Retro Digital Steel","Pointing Hand","Static Punk","Common"
"120","Luxury Punks #120","A high-end collection of luxury cybernetic punks with metallic assets.","images/120.svg","https://amormesbahi.github.io/luxury-punks-anim/html/120.html","https://amormesbahi.github.io/luxury-punks-anim/html/120.html","Sky Pulse","Magenta Pulse","Bronze Human","Male Profile","male","Gold Snapback","Platinum Half-Rim","Shadow Beard","None","None","Neon Silver Coin","None","Silk Robe","Leather Muscle Emerald","Luxury Gold Watch","Retro Digital Steel","Thumb Up","Active Smoker & Blinking","Common"
"121","Luxury Punks #121","A high-end collection of luxury cybernetic punks with metallic assets.","images/121.svg","https://amormesbahi.github.io/luxury-punks-anim/html/121.html","https://amormesbahi.github.io/luxury-punks-anim/html/121.html","Lime Glitch","Magenta Pulse","Natural Beige","Alien Female Profile","female","Crystal Tiara","None","None","None","None","Pulsing Onyx Cord","None","Knight Armor","Wavy Ships Golden","Retro Digital Steel","Royal Octagon","Peace Sign","Static Punk","Common"
"122","Luxury Punks #122","A high-end collection of luxury cybernetic punks with metallic assets.","images/122.svg","https://amormesbahi.github.io/luxury-punks-anim/html/122.html","https://amormesbahi.github.io/luxury-punks-anim/html/122.html","Cyan Scanline","Orange Wave","Fair Light","Alien Profile","male","Cyber Pompadour","None","Shadow Beard","None","Neon Ring","Silver Ball Chain","Lime Glow Guard","Golden Hoodie","Cyber Poncho","None","Royal Octagon","None","Suspicious Squint","Common"
"123","Luxury Punks #123","A high-end collection of luxury cybernetic punks with metallic assets.","images/123.svg","https://amormesbahi.github.io/luxury-punks-anim/html/123.html","https://amormesbahi.github.io/luxury-punks-anim/html/123.html","Amber Glitch","Rose Orbit","Fair Light","Heavy Ape Profile","male","None","None","Gold Trim Beard","None","None","Plasma Chrome Blade","None","None","Glass Fiber Aurora","Royal Octagon","Cyber Holograph","Pointing Hand","Suspicious Squint","Common"
"124","Luxury Punks #124","A high-end collection of luxury cybernetic punks with metallic assets.","images/124.svg","https://amormesbahi.github.io/luxury-punks-anim/html/124.html","https://amormesbahi.github.io/luxury-punks-anim/html/124.html","Magenta Matrix","Violet Pulse","Rich Brown","Male Profile","male","None","None","Gold Trim Beard","None","Diamond Stud","Neon Chrome Chain","None","Neon Hoodie","Bronze Chainmail","None","Oyster Professional","None","Static Punk","Rare"
"125","Luxury Punks #125","A high-end collection of luxury cybernetic punks with metallic assets.","images/125.svg","https://amormesbahi.github.io/luxury-punks-anim/html/125.html","https://amormesbahi.github.io/luxury-punks-anim/html/125.html","Rose Wave","Orange Scanline","Fair Light","Alien Profile","male","Neon Fade (Animated)","None","Clean Shaven","None","Diamond Stud","Neon Crystal Scarf","None","Trench Coat","Tactical Jacket","None","Oyster Professional","None","Active Smoker & Blinking","Common"
"126","Luxury Punks #126","A high-end collection of luxury cybernetic punks with metallic assets.","images/126.svg","https://amormesbahi.github.io/luxury-punks-anim/html/126.html","https://amormesbahi.github.io/luxury-punks-anim/html/126.html","Cyan Orbit","Indigo Particles","Fair Light","Male Profile","male","Ethereal Live Spikes","Crystal Orbit Specs (Animated)","Shadow Beard","None","Neon Ring","Cyber Scarf","None","Diamond Armor","Leather Muscle Stealth","Random Custom Watch","Cyber Holograph","Thumb Up","Active Smoker & Blinking","Common"
"127","Luxury Punks #127","A high-end collection of luxury cybernetic punks with metallic assets.","images/127.svg","https://amormesbahi.github.io/luxury-punks-anim/html/127.html","https://amormesbahi.github.io/luxury-punks-anim/html/127.html","Orange Wave","Lime Wave","Deep Mocha","Heavy Ape Profile","male","LEGENDARY: Prismatic Curl Storm","Diamond Encrusted Aviators","Clean Shaven","None","Gold Hoop","Silk Necktie","Ethereal Ghost Guard (Animated)","White Tuxedo","Desert Poncho","None","Luxury Gold Watch","None","Active Smoker & Blinking","Common"
"128","Luxury Punks #128","A high-end collection of luxury cybernetic punks with metallic assets.","images/128.svg","https://amormesbahi.github.io/luxury-punks-anim/html/128.html","https://amormesbahi.github.io/luxury-punks-anim/html/128.html","Rose Matrix","Sky Orbit","Copper Alloy","Soft Female Profile","female","Big Volume Afro","None","None","Neon Cyan Lips","Onyx Spike","Neon Quantum Collar","None","Cyber Armor","None","Retro Digital Steel","Royal Octagon","Hand Shake","Active Smoker & Blinking","Rare"
"129","Luxury Punks #129","A high-end collection of luxury cybernetic punks with metallic assets.","images/129.svg","https://amormesbahi.github.io/luxury-punks-anim/html/129.html","https://amormesbahi.github.io/luxury-punks-anim/html/129.html","Lime Scanline","Rose Scanline","Fair Light","Heavy Ape Profile","male","Cyber Visor Cap","Holographic Butterfly (Animated)","Full Bushy Beard","None","None","Onyx Collar","Ruby X-Rayon Filter","Holographic Jacket","Denim Jacket","Oyster Professional","Random Custom Watch","Thumb Up","Active Smoker & Blinking","Common"
"130","Luxury Punks #130","A high-end collection of luxury cybernetic punks with metallic assets.","images/130.svg","https://amormesbahi.github.io/luxury-punks-anim/html/130.html","https://amormesbahi.github.io/luxury-punks-anim/html/130.html","Slate Static","Sky Circuit","Fair Light","Sharp Angular Female","female","None","None","None","None","None","Spiked Leather Choker","None","Cyber Robe","None","None","Oyster Professional","None","Static Punk","Common"
"131","Luxury Punks #131","A high-end collection of luxury cybernetic punks with metallic assets.","images/131.svg","https://amormesbahi.github.io/luxury-punks-anim/html/131.html","https://amormesbahi.github.io/luxury-punks-anim/html/131.html","Slate Scanline","Lime Orbit","Rich Brown","Heavy Ape Profile","male","LEGENDARY: Cyber Metallic Rainbow Afro","Chrome Heart Frames","Gold Trim Beard","None","Emerald Stud","None","Carbon Fiber Mask","Camo Hoodie","Brick Domino Toxic","None","Oyster Professional","None","Active Smoker & Blinking","Common"
"132","Luxury Punks #132","A high-end collection of luxury cybernetic punks with metallic assets.","images/132.svg","https://amormesbahi.github.io/luxury-punks-anim/html/132.html","https://amormesbahi.github.io/luxury-punks-anim/html/132.html","Violet Circuit","Cyan Static","Warm Olive","Male Profile","male","None","None","Full Bushy Beard","None","Diamond Chandelier","Neon LED Collar","None","Bronze Chainmail","Brick Domino Red","None","Retro Digital Steel","None","Pulsing Iris (Hypnotic)","Common"
"133","Luxury Punks #133","A high-end collection of luxury cybernetic punks with metallic assets.","images/133.svg","https://amormesbahi.github.io/luxury-punks-anim/html/133.html","https://amormesbahi.github.io/luxury-punks-anim/html/133.html","Amber Circuit","Amber Wave","LEGENDARY: Liquid Gold","Male Profile","male","None","None","Chinstrap","None","Diamond Chandelier","Dual Tone Twist","None","Obsidian Armor","Bronze Chainmail","None","Luxury Gold Watch","None","Scanning Cyber Laser","Rare"
"134","Luxury Punks #134","A high-end collection of luxury cybernetic punks with metallic assets.","images/134.svg","https://amormesbahi.github.io/luxury-punks-anim/html/134.html","https://amormesbahi.github.io/luxury-punks-anim/html/134.html","Lime Wave","Orange Wave","Diamond Clear","Male Profile","male","Aether Shifting","None","Clean Shaven","None","None","Gold Bitcoin Coin","Pearl Round Guard","Shadow Cloak","Brick Domino Matrix","None","Retro Digital Steel","None","Active Smoker & Blinking","Common"
"135","Luxury Punks #135","A high-end collection of luxury cybernetic punks with metallic assets.","images/135.svg","https://amormesbahi.github.io/luxury-punks-anim/html/135.html","https://amormesbahi.github.io/luxury-punks-anim/html/135.html","Indigo Pulse","Rose Glitch","LEGENDARY: Metallic Titanium","Alien Profile","male","Digital Glitch Hair (Animated)","None","Shadow Beard","None","None","Floating Ruby Band","None","Bronze Chainmail","Leather Muscle Obsidian","None","Luxury Gold Watch","None","Static Punk","Common"
"136","Luxury Punks #136","A high-end collection of luxury cybernetic punks with metallic assets.","images/136.svg","https://amormesbahi.github.io/luxury-punks-anim/html/136.html","https://amormesbahi.github.io/luxury-punks-anim/html/136.html","Sky Glitch","Magenta Particles","LEGENDARY: Metallic Copper","Alien Profile","male","Cyber Beanie","Standard Eye","Clean Shaven","None","Ruby Tear","Cyber Scarf","Rotating Gear Grate (Animated)","Obsidian Armor","Leather Muscle Chrome","None","Retro Digital Steel","None","Static Punk","Common"
"137","Luxury Punks #137","A high-end collection of luxury cybernetic punks with metallic assets.","images/137.svg","https://amormesbahi.github.io/luxury-punks-anim/html/137.html","https://amormesbahi.github.io/luxury-punks-anim/html/137.html","Lime Orbit","Sky Static","Fair Light","Male Profile","male","Obsidian Circles","None","Clean Shaven","None","Neon Ring","Animated Quantum Chain","LEGENDARY: Event Horizon Rayon","Leather Muscle Neon Cyan","White Tuxedo","Luxury Gold Watch","Random Custom Watch","Hand Shake","Rapid Eye Twitch","Common"
"138","Luxury Punks #138","A high-end collection of luxury cybernetic punks with metallic assets.","images/138.svg","https://amormesbahi.github.io/luxury-punks-anim/html/138.html","https://amormesbahi.github.io/luxury-punks-anim/html/138.html","Sky Circuit","Indigo Circuit","Obsidian","Sharp Angular Female","female","Prismatic Shifting","Standard Eye","None","None","None","Rose Gold Rope","None","Cyber Poncho","Cyber Robe","None","Retro Digital Steel","None","Static Punk","Common"
"139","Luxury Punks #139","A high-end collection of luxury cybernetic punks with metallic assets.","images/139.svg","https://amormesbahi.github.io/luxury-punks-anim/html/139.html","https://amormesbahi.github.io/luxury-punks-anim/html/139.html","Rose Wave","Slate Orbit","Deep Mocha","Male Profile","male","Dreadlock Top","None","Full Bushy Beard","None","Gold Hoop","Ruby Heart Locket","LEGENDARY: Chronos Time-Shift (Animated)","Brick Domino White Marble","Silk Shirt","Retro Digital Steel","Royal Octagon","Pointing Hand","Rapid Eye Twitch","Common"
"140","Luxury Punks #140","A high-end collection of luxury cybernetic punks with metallic assets.","images/140.svg","https://amormesbahi.github.io/luxury-punks-anim/html/140.html","https://amormesbahi.github.io/luxury-punks-anim/html/140.html","Orange Grid","Cyan Glitch","Matte Slate","Male Profile","male","None","Standard Eye","Clean Shaven","None","Ruby Tear","Pearl Necklace","Chrome Spike Mask","Silk Shirt","Brick Domino Rust","Oyster Professional","Royal Octagon","Hand Shake","Pulsing Iris (Hypnotic)","Common"
"141","Luxury Punks #141","A high-end collection of luxury cybernetic punks with metallic assets.","images/141.svg","https://amormesbahi.github.io/luxury-punks-anim/html/141.html","https://amormesbahi.github.io/luxury-punks-anim/html/141.html","Indigo Glitch","Amber Static","Rich Brown","Alien Female Profile","female","Holographic Live Spikes","Floating Star Monocle (Animated)","None","Dark Purple Lips","Diamond Stud","Holographic Silver Cord","None","Blossom Lily Matrix","Crimson Gown","None","Oyster Professional","None","Static Punk","Common"
"142","Luxury Punks #142","A high-end collection of luxury cybernetic punks with metallic assets.","images/142.svg","https://amormesbahi.github.io/luxury-punks-anim/html/142.html","https://amormesbahi.github.io/luxury-punks-anim/html/142.html","Amber Static","Cyan Scanline","Deep Mocha","Heavy Ape Profile","male","None","None","Clean Shaven","None","Ruby Tear","Holographic Onyx Wrap","Shifting Color Shell (Animated)","Bio-Suit","Brick Domino Red","None","Retro Digital Steel","None","Static Punk","Common"
"143","Legendary Punk #143","A high-end collection of luxury cybernetic punks with metallic assets.","images/143.svg","https://amormesbahi.github.io/luxury-punks-anim/html/143.html","https://amormesbahi.github.io/luxury-punks-anim/html/143.html","Carbon Fiber #34","Indigo Grid","Emerald Dragon","Male Profile","male","LEGENDARY: Pulsing Neon Circles","LEGENDARY: Aurora Chrome Wraps","Full Bushy Beard","None","Diamond Chandelier","Silver Razor Blade","None","Brick Domino Prototype","None","LEGENDARY: Phantom Link","Random Custom Watch","Pointing Hand","Active Smoker & Blinking","Legendary"
"144","Legendary Punk #144","A high-end collection of luxury cybernetic punks with metallic assets.","images/144.svg","https://amormesbahi.github.io/luxury-punks-anim/html/144.html","https://amormesbahi.github.io/luxury-punks-anim/html/144.html","Platinum #35","Indigo Wave","Diamond Crystal","Soft Female Profile","female","LEGENDARY: Shifting Rainbow Matter","None","None","Gold Plated Lips","None","Gold Thick Chain","Infinity Loop Filter (Animated)","White Suit","Shadow Cloak","LEGENDARY: Wraith Spirit","Luxury Gold Watch","Pointing Hand","Suspicious Squint","Legendary"
"145","Luxury Punks #145","A high-end collection of luxury cybernetic punks with metallic assets.","images/145.svg","https://amormesbahi.github.io/luxury-punks-anim/html/145.html","https://amormesbahi.github.io/luxury-punks-anim/html/145.html","Violet Circuit","Indigo Circuit","LEGENDARY: Metallic Platinum","Soft Female Profile","female","Quantum Buzzcut (Animated)","None","None","Dark Purple Lips","Onyx Spike","Pulsing Crystal Locket","None","Nerdy Leather Prototype","Silk Blouse","Retro Digital Steel","Random Custom Watch","Peace Sign","Suspicious Squint","Common"
"146","Luxury Punks #146","A high-end collection of luxury cybernetic punks with metallic assets.","images/146.svg","https://amormesbahi.github.io/luxury-punks-anim/html/146.html","https://amormesbahi.github.io/luxury-punks-anim/html/146.html","Amber Scanline","Violet Orbit","Warm Olive","Heavy Ape Profile","male","Curly Top Fade","Neon Glow Aviators (Animated)","Gold Trim Beard","None","Diamond Stud","Neon Quantum Collar","None","Glass Fiber Emerald","Holographic Tuxedo","None","Oyster Professional","None","Active Smoker & Blinking","Common"
"147","Luxury Punks #147","A high-end collection of luxury cybernetic punks with metallic assets.","images/147.svg","https://amormesbahi.github.io/luxury-punks-anim/html/147.html","https://amormesbahi.github.io/luxury-punks-anim/html/147.html","Cyan Pulse","Magenta Static","Alien Indigo","Soft Female Profile","female","Long Neon Hair","None","None","None","Emerald Stud","Neural Link Connector","LEGENDARY: Chronos Time-Shift (Animated)","Wavy Ships Glitch","Denim Jacket","Retro Digital Steel","Oyster Professional","Pointing Hand","Suspicious Squint","Rare"
"148","Luxury Punks #148","A high-end collection of luxury cybernetic punks with metallic assets.","images/148.svg","https://amormesbahi.github.io/luxury-punks-anim/html/148.html","https://amormesbahi.github.io/luxury-punks-anim/html/148.html","Orange Matrix","Amber Glitch","Fair Light","Heavy Ape Profile","male","None","LEGENDARY: Liquid Gold Drip (Animated)","Clean Shaven","None","Gold Hoop","Neon LED Collar","None","Holographic Tuxedo","Camo Hoodie","None","Retro Digital Steel","None","Suspicious Squint","Rare"
"149","Luxury Punks #149","A high-end collection of luxury cybernetic punks with metallic assets.","images/149.svg","https://amormesbahi.github.io/luxury-punks-anim/html/149.html","https://amormesbahi.github.io/luxury-punks-anim/html/149.html","Orange Grid","Magenta Wave","Rich Brown","Male Profile","male","Spectral Leafs","Holographic Butterfly (Animated)","Chinstrap","None","Gold Hoop","None","Gold Filigree Breather","Golden Hoodie","None","None","Random Custom Watch","None","Scanning Cyber Laser","Rare"
"150","Luxury Punks #150","A high-end collection of luxury cybernetic punks with metallic assets.","images/150.svg","https://amormesbahi.github.io/luxury-punks-anim/html/150.html","https://amormesbahi.github.io/luxury-punks-anim/html/150.html","Indigo Matrix","Magenta Wave","Matte Slate","Soft Female Profile","female","Cybernetic Coil (Animated)","None","None","Diamond Studded Lips","None","Plasma Silver Locket","Chrome Spike Mask","Diamond Corset","Techwear Dress","None","Random Custom Watch","None","Active Smoker & Blinking","Rare"
"151","Luxury Punks #151","A high-end collection of luxury cybernetic punks with metallic assets.","images/151.svg","https://amormesbahi.github.io/luxury-punks-anim/html/151.html","https://amormesbahi.github.io/luxury-punks-anim/html/151.html","Slate Pulse","Indigo Grid","Bronze Human","Soft Female Profile","female","Cyber Circles","Ruby Studded Wayfarers","None","None","None","Silver Dogtags","None","Raincoat","Tactical Vest","Random Custom Watch","Oyster Professional","Thumb Up","Pulsing Iris (Hypnotic)","Common"
"152","Luxury Punks #152","A high-end collection of luxury cybernetic punks with metallic assets.","images/152.svg","https://amormesbahi.github.io/luxury-punks-anim/html/152.html","https://amormesbahi.github.io/luxury-punks-anim/html/152.html","Sky Orbit","Cyan Pulse","Glacier Blue","Alien Profile","male","LEGENDARY: Metallic Rainbow Vortex","Rainbow Prism Shades (Animated)","Shadow Beard","None","None","Floral Silk Scarf","None","Holographic Jacket","Tuxedo","None","Luxury Gold Watch","None","Suspicious Squint","Common"
"153","Luxury Punks #153","A high-end collection of luxury cybernetic punks with metallic assets.","images/153.svg","https://amormesbahi.github.io/luxury-punks-anim/html/153.html","https://amormesbahi.github.io/luxury-punks-anim/html/153.html","Amber Pulse","Rose Orbit","Fair Light","Sharp Angular Female","female","None","None","None","None","Diamond Stud","Floating Chrome Cord","None","Velvet Top","Nerdy Leather Rainbow","Retro Digital Steel","Oyster Professional","Peace Sign","Static Punk","Common"
"154","Legendary Punk #154","A high-end collection of luxury cybernetic punks with metallic assets.","images/154.svg","https://amormesbahi.github.io/luxury-punks-anim/html/154.html","https://amormesbahi.github.io/luxury-punks-anim/html/154.html","Radar Sweep #45","Amber Wave","Neon Skeleton","Male Profile","male","Floating Orbs","None","Gold Trim Beard","None","None","Crimson Velvet Wrap","LEGENDARY: Chronos Time-Shift (Animated)","Brick Domino Toxic","Glass Fiber Emerald","LEGENDARY: Vector Point","Retro Digital Steel","Thumb Up","Active Smoker & Blinking","Legendary"
"155","Luxury Punks #155","A high-end collection of luxury cybernetic punks with metallic assets.","images/155.svg","https://amormesbahi.github.io/luxury-punks-anim/html/155.html","https://amormesbahi.github.io/luxury-punks-anim/html/155.html","Slate Orbit","Indigo Particles","Pale Steel","Alien Profile","male","None","None","Clean Shaven","None","Neon Ring","Plasma Diamond Link","None","Tuxedo","Glass Fiber Aurora","None","Retro Digital Steel","None","Active Smoker & Blinking","Common"
"156","Luxury Punks #156","A high-end collection of luxury cybernetic punks with metallic assets.","images/156.svg","https://amormesbahi.github.io/luxury-punks-anim/html/156.html","https://amormesbahi.github.io/luxury-punks-anim/html/156.html","Amber Orbit","Lime Circuit","Deep Mocha","Soft Female Profile","female","Messy Cyber Bob","None","None","Dark Purple Lips","Diamond Stud","Animated Aether Choker","Rainbow Wave Filter (Animated)","Diamond Corset","Nerdy Leather White","None","Random Custom Watch","None","Scanning Cyber Laser","Rare"
"157","Luxury Punks #157","A high-end collection of luxury cybernetic punks with metallic assets.","images/157.svg","https://amormesbahi.github.io/luxury-punks-anim/html/157.html","https://amormesbahi.github.io/luxury-punks-anim/html/157.html","Violet Static","Rose Glitch","Fair Light","Heavy Ape Profile","male","Cyber Beanie","None","Shadow Beard","None","Gold Hoop","Silver Ball Chain","Neon Cyan Roundie","None","Silver Armor","None","Retro Digital Steel","None","Rapid Eye Twitch","Common"
